uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:2btKtacOXuMtC9WjcNRvAA,LANY,ILYSB,0.636,0.623,-7.016,0.0603,0.468,0.351,0.389,100.026
spotify:track:7ArrTJ1LwcGAlEO65LUQ7i,LANY,I Don't Wanna Love You Anymore,0.702,0.623,-8.36,0.0417,0.322,0.0858,0.503,104.974
spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,LANY,Malibu Nights,0.559,0.422,-11.89,0.195,0.701,0.0853,0.191,74.002
spotify:track:5MMZJtHOiH1RmQSSe3DJdg,The Lumineers,Sleep On The Floor,0.389,0.431,-8.061,0.0344,0.249,0.13,0.275,142.14
spotify:track:4RR9tI04ScTvVBCVTyTzhy,Nightly,the movies,0.651,0.87,-4.818,0.0262,0.0773,0.0852,0.811,109.984
spotify:track:62nhuooamoroYpJyqE0nLd,Lost Frequencies,Are You With Me - Radio Edit,0.763,0.61,-8.094,0.0355,0.275,0.12,0.392,121.031
spotify:track:0AISJtBDtZXgB2fuvcjQEN,Said the Sky,Erase Me,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11
spotify:track:6oNZ0WxqptE7V0qpjtyJ4a,ODESZA,Falls (feat. Sasha Sloan),0.294,0.697,-6.029,0.128,0.0398,0.136,0.183,160.566
spotify:track:1Pj5oOFzLYELyyeh1IYRK0,FLETCHER,Undrunk,0.613,0.579,-6.484,0.0833,0.489,0.126,0.551,91.863
spotify:track:2QsBAfiNmngcrZsOTznqBG,Marc E. Bassy,Just My Luck,0.617,0.64,-5.601,0.042,0.283,0.164,0.346,156.98
spotify:track:6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Summer,0.596,0.856,-3.556,0.0346,0.0211,0.141,0.743,127.949
spotify:track:5jYe1mOKg5zUx0enf1DOdz,Boy In Space,Cold,0.711,0.412,-6.827,0.0445,0.184,0.0546,0.186,130.015
spotify:track:64oxZ8Ma5HAWV04LAI2KwT,Oh Wonder,Happy,0.698,0.516,-8.472,0.0331,0.454,0.0922,0.516,101.979
spotify:track:1g8illkxDpZ9oHckc7NovJ,Jeremy Zucker,not ur friend,0.801,0.272,-10.564,0.415,0.302,0.407,0.648,68.965
spotify:track:1FlAMUpKrjY4NdaqsXjl1w,Carlie Hanson,Back in My Arms,0.543,0.781,-4.854,0.0988,0.0879,0.0868,0.522,150.174
spotify:track:5SlU0Yhi51jobhEiGE4xDv,keshi,2 soon,0.517,0.663,-6.688,0.0375,0.146,0.322,0.146,174.032
spotify:track:5MgBUUjbkQ27Kd9CbeZFLo,The Chainsmokers,Roses (feat. ROZES) - Zaxx Remix,0.677,0.881,-3.534,0.054,0.00445,0.359,0.566,128.121
spotify:track:0TqaX16qLpX7YqFcAl9lDy,Christian French,superstars,0.312,0.614,-6.073,0.0466,0.0589,0.0898,0.356,205.379
