uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,pc1,pc2,label
spotify:track:1AHf5FSofKcUw8tyKkccKF,gianni & kyle,do u even miss me at all?,0.8190000000000001,0.519,-7.16,0.0768,0.384,0.0898,0.452,100.039,0.1460925301266667,-0.24553290602908046,2
spotify:track:0znCw9dSfsrBGUtxAzd9kD,gianni & kyle,5 shots,0.9179999999999999,0.449,-5.702000000000001,0.0605,0.124,0.0595,0.48100000000000004,91.978,-0.01666955993251334,-0.35510579029595607,2
spotify:track:7AhqAjYc1F7x3yURlb0dkj,EXES,Peckham,0.5920000000000001,0.495,-7.89,0.0446,0.581,0.134,0.226,114.925,0.29814844886183284,0.1417585694523841,6
spotify:track:69yWHw7ZdTfYnpk67pdj3a,COIN,"Don't Cry, 2020",0.527,0.867,-5.854,0.145,0.0132,0.612,0.184,128.04,-0.4228244941092591,0.2076546367860932,3
spotify:track:2zkhW5YaOPPaPgNWXmjTjF,Hoodie Allen,Come Around,0.726,0.727,-4.919,0.0969,0.363,0.231,0.815,77.543,-0.09538042907082132,-0.5515541334794078,2
spotify:track:15vzANxN8G9wWfwAJLLMCg,The Chainsmokers,Paris,0.6459999999999999,0.644,-6.763,0.031,0.0243,0.0888,0.251,99.999,-0.21906131288521702,0.03471066278563776,4
spotify:track:2rizacJSyD9S1IQUxUxnsK,The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,-8.821,0.0307,0.09699999999999999,0.115,0.29600000000000004,90.0,-0.07991186444157258,-0.030044250095587977,4
spotify:track:66dQdXAbtuPdSasezCQVZE,BROCKHAMPTON,SUMMER,0.49700000000000005,0.55,-6.13,0.0257,0.847,0.11900000000000001,0.542,79.955,0.39693629166688044,-0.16123360652245544,5
spotify:track:694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,NO HALO,0.643,0.573,-7.034,0.0709,0.41,0.0695,0.47,165.192,0.031875221462862216,0.12687051934667432,6
spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,SUGAR,0.45299999999999996,0.5379999999999999,-8.212,0.0638,0.449,0.19,0.516,122.973,0.10945920317134158,0.08768367789131075,6
spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,BROCKHAMPTON,GINGER,0.748,0.715,-5.1370000000000005,0.0451,0.249,0.16399999999999998,0.226,130.08700000000002,-0.14276458686039414,0.050517333833430315,4
spotify:track:5GI6QmVQewXzKDtIf4pPY8,Bren Joy,Twenties,0.6759999999999999,0.586,-6.412000000000001,0.0716,0.177,0.0461,0.602,88.01,-0.09733124865845998,-0.279858066324394,2
spotify:track:0dMahcyqbfmUiWUL9xiLmg,Bren Joy,Sweet,0.638,0.732,-6.852,0.0914,0.17300000000000001,0.0681,0.5529999999999999,78.017,-0.1703197900604718,-0.276875875911457,2
spotify:track:4kWfgyx4baqZctv8N3zxwt,Bren Joy,Henny in the Hamptons,0.633,0.635,-6.7860000000000005,0.11800000000000001,0.623,0.207,0.46399999999999997,87.927,0.22963363573958104,-0.19936924300644696,2
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,0.611,0.797,-7.627000000000001,0.0533,0.00543,0.26,0.518,120.041,-0.3812217145331172,-0.05948303379330822,0
spotify:track:6y6jbcPG4Yn3Du4moXaenr,blackbear,Idfc,0.63,0.5,-8.755,0.0611,0.611,0.114,0.315,144.871,0.30193453232221784,0.17076905342617735,6
spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,0.778,0.5589999999999999,-7.109,0.0776,0.128,0.39899999999999997,0.6779999999999999,129.989,-0.15513324699076353,-0.2468565864735289,2
spotify:track:65Bynqyt59f3fojjs1Uo41,ayokay,Stay With Me (feat. Jeremy Zucker),0.6940000000000001,0.695,-6.612,0.0705,0.489,0.131,0.46799999999999997,100.035,0.07504556091049813,-0.1911279942105393,2
spotify:track:4PUWpNtDejQwwa80LjvxXl,ayokay,Sleepless Nights (feat. Nightly),0.6629999999999999,0.696,-5.994,0.0349,0.0563,0.226,0.449,139.98,-0.3170695466344939,0.027176272662648774,4
spotify:track:6h5PAsRni4IRlxWr6uDPTP,Axwell /\ Ingrosso,More Than You Know,0.6459999999999999,0.741,-4.973,0.034,0.0275,0.312,0.5710000000000001,123.07700000000001,-0.39567633981968275,-0.12028810375339939,0
spotify:track:6ae29ZzSPYq61ARnOn3CGh,Anthony Russo,California,0.736,0.493,-7.224,0.0592,0.265,0.247,0.364,141.997,0.02170659779235205,0.0511748778579719,6
spotify:track:7HbTWMc28PYvjltuhArnKG,COIN,Atlas,0.38,0.769,-5.572,0.0748,0.007409999999999999,0.163,0.562,174.22299999999998,-0.49072434486260136,0.2908710783149506,3
spotify:track:0X5mtNbqxbiTYkwj0CQc2f,COIN,Crash My Car,0.244,0.645,-5.8629999999999995,0.0456,0.0017800000000000001,0.301,0.529,183.577,-0.446583794718187,0.47544828916071435,3
spotify:track:4djIFfof5TpbSGRZUpsTXq,COIN,Talk Too Much,0.598,0.888,-5.119,0.0807,0.009470000000000001,0.34700000000000003,0.48200000000000004,103.96600000000001,-0.4662774396595139,-0.12587443837229667,0
spotify:track:7znbs5T41Li5UBiVGhEACQ,Death Cab for Cutie,Summer Years,0.556,0.902,-6.087000000000001,0.0333,0.215,0.109,0.8490000000000001,152.25,-0.41193483312151413,-0.13832355483545003,0
spotify:track:28QF5ELXqDnaBjPjGTlzAK,Death Cab for Cutie,Northern Lights,0.514,0.95,-3.807,0.0298,0.00575,0.134,0.665,137.975,-0.6130686078483145,-0.04879310825131258,0
spotify:track:1J5rHMEvQFpM07iLULi48A,flor,back again,0.636,0.597,-6.8839999999999995,0.0279,0.11800000000000001,0.124,0.639,84.979,-0.16089780916681462,-0.27308909992353003,2
spotify:track:6RtRxaZN5RMWFbeZW24oRx,flor,hold on,0.609,0.872,-4.72,0.0447,0.0483,0.11900000000000001,0.534,111.96700000000001,-0.4479023979101399,-0.12626159501843778,0
spotify:track:5UAOuU3YK9xo76vtrhyDng,flor,dancing around,0.726,0.657,-7.066,0.0327,0.00765,0.0975,0.629,114.99600000000001,-0.2921567797795301,-0.21948715805635421,0
spotify:track:29j2Y1N3vpyvm385G4TFSS,flora cash,Missing Home,0.608,0.728,-6.612,0.0393,0.33899999999999997,0.0741,0.24600000000000002,89.994,-0.03352490894105121,-0.002949852810426227,4
spotify:track:1ITJTMrS4cx8zdlI7DdSoo,HONNE,Me & You ◑,0.769,0.546,-8.27,0.0387,0.645,0.0948,0.603,120.22,0.28700337349978694,-0.2313481063895171,2
spotify:track:6ZzYETKetIfNUsZUb23jgG,HONNE,Day 1 ◑,0.503,0.581,-7.007000000000001,0.0881,0.21,0.257,0.633,94.555,-0.09931651414687816,-0.14703323366585883,4
spotify:track:6A1GBCMwbfhkB9e1thR8a8,HONNE,Location Unknown ◐,0.682,0.65,-7.231,0.0457,0.21600000000000003,0.0947,0.37799999999999995,109.986,-0.09022645368556226,-0.050745657347622944,4
spotify:track:7i1pavASRUZk62ejaUIESa,HONNE,Crying Over You ◐,0.385,0.62,-8.316,0.147,0.0815,0.35200000000000004,0.415,75.564,-0.14993513075897089,0.012166136951747755,4
spotify:track:3FpEXAupLwCHwzeUBxF99S,joan,i loved you first,0.556,0.276,-9.603,0.0269,0.0862,0.0999,0.21600000000000003,75.02,0.140050646820678,0.09424959857577123,6
spotify:track:0ltO5bci13M68sTnEctBxR,joan,love somebody like you,0.5770000000000001,0.8540000000000001,-3.7539999999999996,0.0473,0.0596,0.205,0.336,94.999,-0.4093868112997672,-0.04427249576062406,0
spotify:track:2k7GyFSbErjCvk1QlTChxL,joan,tokyo,0.631,0.7859999999999999,-5.267,0.0353,0.00716,0.12,0.7609999999999999,102.027,-0.43348948845162477,-0.313966982656052,0
spotify:track:2btKtacOXuMtC9WjcNRvAA,LANY,ILYSB,0.636,0.623,-7.016,0.0603,0.46799999999999997,0.35100000000000003,0.389,100.02600000000001,0.10514708221164344,-0.08483671441246143,2
