artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature
flora cash,Missing Home,0.608,0.728,11,-6.612,1,0.0393,0.339,4.62e-05,0.0741,0.246,89.994,spotify:track:29j2Y1N3vpyvm385G4TFSS,4
HONNE,Me & You ◑,0.769,0.546,0,-8.27,0,0.0387,0.645,0.000231,0.0948,0.603,120.22,spotify:track:1ITJTMrS4cx8zdlI7DdSoo,4
HONNE,Day 1 ◑,0.503,0.581,6,-7.007,1,0.0881,0.21,0.000708,0.257,0.633,94.555,spotify:track:6ZzYETKetIfNUsZUb23jgG,4
HONNE,Location Unknown ◐,0.682,0.65,5,-7.231,1,0.0457,0.216,9.48e-06,0.0947,0.378,109.986,spotify:track:6A1GBCMwbfhkB9e1thR8a8,4
HONNE,Crying Over You ◐,0.385,0.62,1,-8.316,0,0.147,0.0815,0.0,0.352,0.415,75.564,spotify:track:7i1pavASRUZk62ejaUIESa,4
joan,i loved you first,0.556,0.276,0,-9.603,1,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,spotify:track:3FpEXAupLwCHwzeUBxF99S,4
joan,love somebody like you,0.577,0.854,7,-3.754,1,0.0473,0.0596,2.69e-05,0.205,0.336,94.999,spotify:track:0ltO5bci13M68sTnEctBxR,4
joan,tokyo,0.631,0.786,9,-5.267,1,0.0353,0.00716,0.0,0.12,0.761,102.027,spotify:track:2k7GyFSbErjCvk1QlTChxL,4
LANY,ILYSB,0.636,0.623,5,-7.016,1,0.0603,0.468,0.00453,0.351,0.389,100.026,spotify:track:2btKtacOXuMtC9WjcNRvAA,4
LANY,I Don't Wanna Love You Anymore,0.702,0.623,0,-8.36,1,0.0417,0.322,0.0,0.0858,0.503,104.974,spotify:track:7ArrTJ1LwcGAlEO65LUQ7i,4
LANY,Malibu Nights,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,4
The Lumineers,Sleep On The Floor,0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,spotify:track:5MMZJtHOiH1RmQSSe3DJdg,4
Nightly,the movies,0.651,0.87,11,-4.818,1,0.0262,0.0773,1.12e-05,0.0852,0.811,109.984,spotify:track:4RR9tI04ScTvVBCVTyTzhy,4
Lost Frequencies,Are You With Me - Radio Edit,0.763,0.61,5,-8.094,0,0.0355,0.275,2.71e-05,0.12,0.392,121.031,spotify:track:62nhuooamoroYpJyqE0nLd,4
