artist,title,played_at,session,uri,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,label
Galantis,Runaway (U & I),(05/18) 09:42 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,-4.119,0.0469,0.007109999999999998,0.0856,0.383,126.008,3
ayokay,Sleepless Nights (feat. Nightly),(05/17) 18:17 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:4PUWpNtDejQwwa80LjvxXl,0.6629999999999999,0.696,-5.994,0.0349,0.0563,0.226,0.449,139.98,4
Bazzi,Paradise,(05/17) 18:15 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:0Rx0DJI556Ix5gBny6EWmn,0.8440000000000001,0.644,-6.273,0.0479,0.0828,0.113,0.591,122.061,4
Jeremy Zucker,talk is overrated,(05/17) 18:13 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:7cflqPPi3zWfLFRRBTWeh6,0.7759999999999999,0.353,-8.317,0.0687,0.435,0.302,0.6579999999999999,138.035,2
Shoffy,Cool Again,(05/17) 18:09 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:0xM6mdl0XX2qOqUZmVUp97,0.774,0.45,-6.86,0.0896,0.443,0.127,0.648,90.055,2
The Band CAMINO,See Through,(05/17) 18:06 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:1pJzl0YsxaWj6BbPs1mUuQ,0.5770000000000001,0.8109999999999999,-5.122999999999998,0.075,0.0394,0.11,0.6659999999999999,92.002,0
Loote,85%,(05/17) 18:03 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:5teOR8KU4XNWY2WlVUDiIR,0.574,0.6509999999999999,-7.585,0.046,0.34600000000000003,0.149,0.368,140.017,6
Quinn XCII,Panama,(05/17) 18:00 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:4RtexJZ1OyRkDNlqVUt8Zt,0.73,0.494,-6.402,0.0565,0.57,0.158,0.561,86.73200000000001,2
ayokay,Stay With Me (feat. Jeremy Zucker),(05/17) 17:56 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:65Bynqyt59f3fojjs1Uo41,0.6940000000000001,0.695,-6.612,0.0705,0.489,0.131,0.468,100.035,2
Greyson Chance,shut up,(05/17) 17:53 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:65mPCrY32YMQlBnmWVrKNa,0.821,0.448,-4.33,0.0468,0.29600000000000004,0.0683,0.45,105.006,2
The Band CAMINO,Less Than I Do,(05/17) 17:50 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:4QMSq1uq0JgvyKhEDp8wkx,0.529,0.579,-6.94,0.0518,0.0198,0.103,0.46,76.991,4
Jeremy Zucker,comethru (bonus track),(05/17) 17:47 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:1pV9TLnQdOHbvourRO7x4m,0.795,0.18,-12.293,0.0608,0.59,0.621,0.611,94.02,5
Marc E. Bassy,Just My Luck,(05/17) 17:43 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:2QsBAfiNmngcrZsOTznqBG,0.617,0.64,-5.601,0.042,0.28300000000000003,0.16399999999999998,0.34600000000000003,156.98,4
Galantis,Runaway (U & I),(05/17) 11:48 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,-4.119,0.0469,0.007109999999999998,0.0856,0.383,126.008,3
Loud Luxury,I'm Not Alright - Frank Walker Remix,(05/17) 11:44 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:7ojmU04SuSKtIjzODRFIiB,0.741,0.8690000000000001,-3.557,0.0366,0.0176,0.13699999999999998,0.6859999999999999,124.99,0
Delaney Jane,Throwback,(05/17) 11:41 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:0O64j1yLdHg17XDfleKiYH,0.613,0.731,-3.993,0.0625,0.177,0.107,0.322,107.071,4
Jai Wolf,Better Apart (feat. Dresage),(05/17) 11:37 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:1TFC1wutiIHQQ9buf8bxQI,0.489,0.703,-4.564,0.026,0.013,0.104,0.256,149.977,3
TWIN XL,Neon Summer,(05/17) 11:33 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:4NjW9Srshx2xuTdEoUnf9C,0.398,0.785,-4.853,0.0424,0.00129,0.109,0.688,75.023,0
Bryce Vine,Los Angeles,(05/17) 11:30 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:0GJnCFj7z7hvxo7AKX1PM8,0.728,0.812,-6.099,0.0671,0.121,0.293,0.8240000000000001,150.093,0
Kygo,I'll Wait,(05/17) 11:27 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,0.611,0.6509999999999999,-6.973,0.0587,0.14800000000000002,0.105,0.35700000000000004,122.983,4
Said the Sky,All I Got,(05/17) 11:23 AM,85b6219bcfcba11165387f1175d9838b0aaeafc5,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
BROCKHAMPTON,SUMMER,(05/16) 15:03 PM,e01e0c753a8c9e8b73a30605e20981173ef74d84,spotify:track:66dQdXAbtuPdSasezCQVZE,0.4970000000000001,0.55,-6.13,0.0257,0.847,0.119,0.542,79.955,5
BROCKHAMPTON,GINGER,(05/16) 15:01 PM,e01e0c753a8c9e8b73a30605e20981173ef74d84,spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,0.748,0.715,-5.1370000000000005,0.0451,0.249,0.16399999999999998,0.226,130.08700000000002,4
BROCKHAMPTON,SUGAR,(05/16) 14:57 PM,e01e0c753a8c9e8b73a30605e20981173ef74d84,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.5379999999999999,-8.212,0.0638,0.449,0.19,0.516,122.973,6
